,Datetime,Class A,Class B
0,1616272200,2916,44
1,1616362200,2534,60
2,1616445000,2502,72
3,1616531400,2542,106
4,1616617800,2162,148
5,1616704200,1891,103
6,1616790600,2548,210
7,1616877000,3571,222
8,1616963400,2869,174
9,1617049800,2960,200
10,1617136200,3567,166
11,1617222600,4291,74
12,1617309000,1736,48
13,1617395400,2661,315
14,1617481800,3056,473
15,1617568200,2935,361
16,1617654600,2874,389
17,1617741000,2987,327
18,1617827400,4301,302
19,1617913800,2308,209
20,1618000200,2646,433
21,1618086600,2600,363
22,1618173000,2758,426
23,1618259400,2806,412
24,1618345800,2534,440
25,1618432200,3667,376
26,1618518600,1945,203
27,1618605000,2422,440
28,1618691400,2387,405
29,1618777800,2374,379
30,1618864200,2465,371
31,1618950600,2557,322
32,1619037000,4155,316
33,1619123400,2105,251
34,1619209800,2571,430
35,1619296200,2583,441
36,1619382600,2610,422
37,1619469000,2476,376
38,1619555400,2698,373
39,1619641800,4433,285
40,1619728200,2075,218
41,1619814600,2590,390
42,1619901000,2470,352
43,1619987400,3089,358
44,1620073800,1626,197
45,1620160200,2685,412
46,1620246600,4221,357
47,1620333000,2212,237
48,1620419400,2780,393
49,1620505800,2803,441
50,1620592200,3115,451
51,1620678600,2628,446
52,1620765000,2577,322
53,1620851400,1998,129
54,1620937800,1106,187
55,1621024200,2622,432
56,1621110600,2907,429
57,1621197000,2918,412
58,1621283400,2910,431
59,1621369800,3243,406
60,1621456200,5402,303
61,1621542600,2717,188
62,1621629000,2542,338
63,1621715400,2571,381
64,1621801800,3033,390
65,1621888200,2767,343
66,1621974600,3293,373
67,1622061000,5543,364
68,1622147400,2905,234
69,1622233800,3024,429
70,1622320200,3128,427
71,1622406600,3361,482
72,1622493000,3184,461
73,1622579400,3183,393
74,1622665800,4678,366
75,1622752200,2990,186
76,1622838600,2379,256
77,1622925000,2034,242
78,1623011400,2986,471
79,1623097800,3223,446
80,1623184200,3385,417
81,1623270600,5133,389
82,1623357000,2750,234
83,1623443400,3020,398
84,1623529800,2992,427
85,1623616200,3353,456
86,1623702600,3021,456
87,1623789000,3423,435
88,1623875400,5574,340
89,1623961800,2833,222
90,1624048200,2653,391
91,1624134600,2915,499
92,1624221000,2994,455
93,1624307400,3060,468
94,1624393800,3594,396
95,1624480200,5548,385
96,1624566600,2888,256
97,1624653000,3340,473
98,1624739400,3064,510
99,1624825800,3181,455
100,1624912200,3353,477
101,1624998600,3504,426
102,1625085900,5653,362
103,1625171400,2802,246
104,1625257800,3101,484
105,1625344200,2490,335
106,1625463300,2056,362
107,1625517000,2674,368
108,1625603400,3329,469
109,1625689800,5343,320
110,1625776200,2476,211
111,1625862600,2964,484
112,1625949000,3050,476
113,1626035400,5017,1430
114,1626121800,6491,1768
115,1626208200,7052,1554
116,1626294600,9453,1420
117,1626381000,5563,1085
118,1626467400,6310,1547
119,1626553800,6392,1569
120,1626640200,6650,1580
121,1626726600,8160,1465
122,1626813000,6418,917
123,1626899400,8458,1134
124,1626985800,5327,985
125,1627072200,5990,1610
126,1627158600,6255,1536
127,1627245000,5788,1370
128,1627331400,5725,1268
129,1627417800,8706,1450
130,1627504200,9264,932
131,1627590600,5387,1014
132,1627677000,6167,1526
133,1627763400,6319,1583
134,1627849800,6486,1520
135,1627936200,6472,1523
136,1628022600,6988,1446
137,1628109000,9272,1287
138,1628195400,5404,1003
139,1628281800,5393,1361
140,1628368200,5625,1433
141,1628454600,5725,1323
142,1628541000,5087,1187
143,1628627400,6132,1447
144,1628713800,8454,1100
145,1628800200,5188,1019
146,1628886600,4510,1081
147,1628973000,6967,1679
148,1629059400,5509,1242
149,1629145800,6900,822
150,1629232200,5798,311
151,1629318600,3969,362
152,1629405000,3469,897
153,1629491400,4752,1544
154,1629577800,5397,1628
155,1629664200,5836,1618
156,1629750600,5873,1702
157,1629837000,5440,1256
158,1629923400,8234,1222
159,1630009800,4947,1129
160,1630096200,5708,1304
161,1630182600,6439,1769
162,1630269000,5841,1381
163,1630355400,5323,1244
164,1630441800,3882,570
165,1630528200,7726,816
166,1630614600,5700,1076
167,1630701000,6357,1547
168,1630787400,6567,1554
169,1630873800,6692,1675
170,1630960200,6508,1562
171,1631046600,7220,1551
172,1631133000,10416,1436
173,1631219400,5003,839
174,1631305800,5310,1322
175,1631392200,6500,1544
176,1631478600,6595,1626
177,1631565000,6556,1661
178,1631651400,6919,1345
179,1631737800,10538,1396
180,1631824200,6129,1172
181,1631910600,6401,1578
182,1631997000,6660,1511
183,1632083400,6556,1549
184,1632169800,6653,1532
185,1632256200,7104,1409
186,1632342600,10162,1442
187,1632429000,6148,1085
188,1632515400,6390,1506
189,1632601800,8731,1518
190,1632688200,5822,1135
191,1632774600,6240,1576
192,1632861000,6950,1596
193,1632947400,9381,1501
194,1633033800,6145,1153
195,1633120200,6872,1579
196,1633206600,7573,1654
197,1633293000,10490,1495
198,1633379400,7717,1199
199,1633465800,8290,1364
200,1633552200,9203,1112
201,1633638600,7387,1177
202,1633725000,6804,1649
203,1633811400,6836,1681
204,1633897800,6753,1610
205,1633984200,6539,1580
206,1634070600,7119,1621
207,1634157000,9825,1486
208,1634243400,6728,1194
209,1634329800,6637,1565
210,1634416200,6671,1652
211,1634502600,6781,1618
212,1634589000,6972,1666
213,1634675400,7455,1618
214,1634761800,10931,1446
215,1634848200,7007,1219
216,1634934600,7784,1580
217,1635021000,7455,1230
218,1635107400,6896,1689
219,1635193800,6709,1510
220,1635280200,7093,1460
221,1635366600,9866,1351
222,1635453000,6744,1202
223,1635539400,6604,1684
224,1635625800,195,71
